,Y
1/1/2013,-1664.274
1/2/2013,-1797.405
1/3/2013,-2108.943
1/4/2013,-2611.187
1/5/2013,-3025.792
1/6/2013,-2766.806
1/7/2013,-2867.267
1/8/2013,-3411.733
1/9/2013,-3704.739
1/10/2013,-3790.3
1/11/2013,-4503.621
1/12/2013,-4315.394
1/13/2013,-5273.372
1/14/2013,-5382.994
1/15/2013,-5747.112
1/16/2013,-6112.549
1/17/2013,-6638.5
1/18/2013,-6563.082
1/19/2013,-6382.737
1/20/2013,-6961.297
1/21/2013,-6970.864
1/22/2013,-7262.194
1/23/2013,-6999.688
1/24/2013,-7267.859
1/25/2013,-6980.639
1/26/2013,-7279.232
1/27/2013,-7171.874
1/28/2013,-7617.846
1/29/2013,-7089.13
1/30/2013,-7779.378
1/31/2013,-7411.672
2/1/2013,-8516.557
2/2/2013,-8558.817
2/3/2013,-8915.356
2/4/2013,-8828.106
2/5/2013,-8621.673
2/6/2013,-8390.781
2/7/2013,-8545.124
2/8/2013,-8154.561
2/9/2013,-8189.857
2/10/2013,-8266.089
2/11/2013,-8347.125
2/12/2013,-8514.264
2/13/2013,-8151.587
2/14/2013,-8305.674
2/15/2013,-7907.708
2/16/2013,-7817.956
2/17/2013,-7146.494
2/18/2013,-6911.611
2/19/2013,-6455.397
2/20/2013,-6029.852
2/21/2013,-6082.834
2/22/2013,-5903.252
2/23/2013,-5473.168
2/24/2013,-5449.174
2/25/2013,-5426.593
2/26/2013,-5776.588
2/27/2013,-5297.301
2/28/2013,-5650.827
3/1/2013,-5275.977
3/2/2013,-4926.659
3/3/2013,-4835.701
3/4/2013,-4661.14
3/5/2013,-4122.198
3/6/2013,-3942.491
3/7/2013,-3808.973
3/8/2013,-3468.522
3/9/2013,-3626.328
3/10/2013,-3252.354
3/11/2013,-3382.465
3/12/2013,-3248.643
3/13/2013,-3328.307
3/14/2013,-3460.14
3/15/2013,-3613.441
3/16/2013,-3614.818
3/17/2013,-3837.397
3/18/2013,-3756.387
3/19/2013,-3664.465
3/20/2013,-3676.911
3/21/2013,-4159.4
