,Y
1/1/2013,-259.864
1/2/2013,649.658
1/3/2013,115.91
1/4/2013,-427.655
1/5/2013,416.645
1/6/2013,2548.155
1/7/2013,897.837
1/8/2013,-136.469
1/9/2013,790.903
1/10/2013,79.391
1/11/2013,-476.981
1/12/2013,507.223
1/13/2013,2618.96
1/14/2013,806.979
1/15/2013,-369.454
1/16/2013,891.705
1/17/2013,-109.516
1/18/2013,-628.234
1/19/2013,753.208
1/20/2013,3011.44
1/21/2013,762.261
1/22/2013,-445.115
1/23/2013,981.781
1/24/2013,-112.651
1/25/2013,-893.167
1/26/2013,676.058
1/27/2013,3074.58
1/28/2013,533.856
1/29/2013,-538.816
1/30/2013,1188.812
1/31/2013,-260.765
2/1/2013,-1216.348
2/2/2013,800.343
2/3/2013,2733.076
2/4/2013,766.805
2/5/2013,-183.154
2/6/2013,1264.118
2/7/2013,-413.414
2/8/2013,-1368.927
2/9/2013,885.99
2/10/2013,3030.471
2/11/2013,780.53
2/12/2013,72.834
2/13/2013,1203.352
2/14/2013,-281.326
2/15/2013,-1391.88
2/16/2013,713.669
2/17/2013,3136.334
2/18/2013,1042.406
2/19/2013,279.214
2/20/2013,1373.082
2/21/2013,-106.581
2/22/2013,-1657.362
2/23/2013,880.734
2/24/2013,3124.805
2/25/2013,1250.847
2/26/2013,281.858
2/27/2013,1467.53
2/28/2013,136.052
3/1/2013,-1438.739
3/2/2013,503.771
3/3/2013,2730.514
3/4/2013,1461.065
3/5/2013,227.339
3/6/2013,1775.983
3/7/2013,356.394
3/8/2013,-1513.277
3/9/2013,631.644
3/10/2013,2257.662
3/11/2013,1406.812
3/12/2013,-229.266
3/13/2013,1613.828
3/14/2013,570.577
3/15/2013,-1527.524
3/16/2013,499.587
3/17/2013,1769.194
3/18/2013,1207.104
3/19/2013,-341.259
3/20/2013,1352.303
3/21/2013,642.556
3/22/2013,-1778.096
3/23/2013,198.502
3/24/2013,1572.757
3/25/2013,1278.834
3/26/2013,-261.938
3/27/2013,1205.016
3/28/2013,940.786
3/29/2013,-1623.521
3/30/2013,287.39
3/31/2013,1346.574
